feature,importance
ybcQ,0.006948869698262892
group_2888,0.006864949543548952
pemI,0.006646716863823109
group_11182,0.006568647824969215
group_984,0.006440414889395337
pemK,0.006135156046847591
chpS,0.005911055978399319
group_2875,0.005468166678609276
focC_2,0.005251325141399843
dhfrI,0.005009168092870094
cat,0.004865888637951502
repE,0.004749441980873468
yjgH,0.004748920370902302
yadK,0.004267810628693284
yfcR,0.004069128375975602
mphR,0.004058204022209166
higB-1,0.003974070942111263
hscC,0.003796348869837307
group_2203,0.0037522386543159827
group_8566,0.003697936650018213
tabA_2,0.003671051209993795
sopB,0.0036401242848392696
ykfG_1,0.003592033057221458
group_2003,0.0035723343883289137
elfA,0.0035012165157750235
nmpC,0.0034554511662085786
group_17,0.0034332792008482118
tabA,0.003392912070487974
group_8523,0.0033888802673293604
sopA,0.0033820044446627538
group_1649,0.003104734222203238
group_5071,0.003049187841889206
mhpE,0.0030091305383828384
group_8592,0.0029871974364433034
group_3155,0.0029710246266298444
hbp,0.0029596286964330733
group_5903,0.002942632758898339
yjgN,0.0028604213353691553
mhpT,0.0028480446348133504
group_11142,0.00282379180537776
group_7056,0.0028219969926051437
kfoC,0.002782961499825804
wbuC,0.0027325542719933366
tnpA,0.0027064551807239397
group_4463,0.002701258198749113
yfkN_2,0.0026760591950623796
pdxA_3,0.0026756729846937597
mphA,0.0026717089379291498
yhjE_2,0.0026542764503980727
mhpD,0.0025527385949366214
group_16766,0.002544607869146355
mhpC,0.002539771409911906
group_16691,0.00253632803851868
group_5087,0.0024632568571321145
group_16752,0.002384610489266831
wbbK,0.0023829620834127465
folP2,0.0023470750616625506
group_5107,0.0023393281167984926
hlyE,0.0023297053111765967
group_5070,0.0022718159927010415
gmuB,0.002267705555028851
group_11143,0.002231406085066843
mhpA,0.0022012222426832906
group_11138,0.0021999563766679875
group_3512,0.0021902184778491477
group_5922,0.0021820485604185282
group_11087,0.002141064779682229
group_16760,0.002124064932835555
group_7057,0.002101352554280097
vapC_2,0.002076310548848533
djlC,0.0020756140235865506
group_17190,0.0020043905275721617
ybeU,0.001991808699465304
yidP,0.0019538934676787464
group_3534,0.0019254313617285148
hcpD,0.0019240503291892389
group_7049,0.0019054281870963905
group_16751,0.0018984693958883465
yjgM,0.001888614671316977
group_16763,0.0018467827759859304
rtcB_1,0.0018254520600517043
group_3140,0.0018175633930727659
group_7019,0.001808608491923678
yehD,0.0018060698200511472
group_2594,0.0017715785845127334
group_5061,0.001736515156166116
ybeT,0.0017222542670782906
group_16747,0.0017192663129317457
group_4441,0.0017054126876502695
group_3157,0.0017049995584001076
group_2871,0.0016968048928520027
icsA_2,0.0016883357673892734
group_11158,0.0016826352341295803
espY1,0.0016788728991956724
group_5901,0.0016712430803957174
group_2862,0.0016670409173467821
group_11189,0.0016658040522704943
yadC,0.0016404699496178272
group_11139,0.0016144298707318754
group_16759,0.0015962577038508246
waaP,0.001593180779824435
group_2587,0.0015725750199302767
group_3532,0.001565888262217598
mngB,0.0015534794216132716
aac3-VI,0.001547166714560043
nhaR,0.0015345260710317413
group_16755,0.0015272711322042271
yiaM_1,0.001524834211145766
group_7024,0.001515457219132323
group_11145,0.001507326413273192
group_1087,0.0015072777990970713
group_727,0.0015065344145713693
group_11106,0.001506099991693812
arpB,0.0015000634756266102
group_1368,0.0014860219651831141
group_16764,0.001477637630143163
group_16777,0.00146521142912288
bla_1,0.0014612703769583144
group_1089,0.0014592155033396955
dapA_3,0.0014453587702652109
group_581,0.0014444653307816577
group_904,0.0014412098375081134
group_8538,0.001432624495690802
ygbE,0.0014195391187069157
bvgA,0.00141421668977262
group_1477,0.0014063005279529425
rsvB,0.0013974087396508908
